Rat Gene Symbol	Human Gene Symbol
A1bg	A1BG
A1cf	A1CF
A26c2	NA
A2m	A2M
A2ml1	AC024940.1
A3galt2	A3GALT2
A4galt	A4GALT
A4gnt	A4GNT
Aaas	AAAS
Aacs	AACS
Aadac	AADAC
Aadacl2	AADACL2
Aadacl3	AADACL3
Aadacl4	AADACL4
Aadat	AADAT
Aagab	AAGAB
Aak1	AAK1
Aamdc	AAMDC
Aamp	AAMP
Aanat	AANAT
Aar2	AAR2
Aard	AARD
Aars1	AARS1
Aars2	AARS2
Aarsd1	AARSD1
Aasdh	AASDH
Aasdhppt	AASDHPPT
Aass	AASS
Aatf	AATF
Aatk	AATK
Abat	ABAT
Abca1	ABCA1
Abca12	ABCA12
Abca13	ABCA13
Abca14	NA
Abca15	NA
Abca16	NA
Abca17	ABCA3
Abca2	ABCA2
Abca3	ABCA3
Abca4	ABCA4
Abca5	ABCA5
Abca6	ABCA6
Abca7	ABCA7
Abca8	ABCA8
Abca8a	ABCA8
Abca9	ABCA9
Abcb10	ABCB10
Abcb11	ABCB11
Abcb1a	ABCB1
Abcb1b	ABCB1
Abcb4	ABCB4
Abcb5	ABCB5
Abcb6	ABCB6
Abcb7	ABCB7
Abcb8	ABCB8
Abcb9	ABCB9
Abcc1	ABCC1
Abcc10	ABCC10
Abcc12	ABCC12
Abcc2	ABCC2
Abcc3	ABCC3
Abcc4	ABCC4
Abcc5	ABCC5
Abcc6	ABCC6
Abcc8	ABCC8
Abcc9	ABCC9
Abcd1	ABCD1
Abcd2	ABCD2
Abcd3	ABCD3
Abcd4	ABCD4
Abce1	ABCE1
Abcf1	ABCF1
Abcf2	ABCF2
Abcf3	ABCF3
Abcg1	ABCG1
Abcg2	ABCG2
Abcg3	ABCG8
Abcg3l1	ABCG2
Abcg3l2	NA
Abcg3l3	ABCG2
Abcg3l4	NA
Abcg4	ABCG4
Abcg5	ABCG5
Abcg8	ABCG8
Abhd1	ABHD1
Abhd10	ABHD10
Abhd11	ABHD11
Abhd12	ABHD12
Abhd12b	ABHD12B
Abhd13	ABHD13
Abhd14a	ABHD14A
Abhd14b	ABHD14B
Abhd15	ABHD15
Abhd16a	ABHD16A
Abhd16b	ABHD16B
Abhd17a	ABHD17A
Abhd17b	ABHD17B
Abhd17c	ABHD17C
Abhd18	ABHD18
Abhd2	ABHD2
Abhd3	ABHD3
Abhd4	ABHD4
Abhd5	ABHD5
Abhd6	ABHD6
Abhd8	ABHD8
Abi1	ABI1
Abi2	ABI2
Abi3	ABI3
Abi3bp	ABI3BP
Abitram	ABITRAM
Abl1	ABL1
Abl2	ABL2
Ablim1	ABLIM1
Ablim2	ABLIM2
Ablim3	ABLIM3
Abo	ABO
Abo2	ABO
Abo3	ABO
Abr	ABR
Abra	ABRA
Abracl	ABRACL
Abraxas1	ABRAXAS1
Abraxas2	ABRAXAS2
Abt1	ABT1
Abtb1	ABTB1
Abtb2	ABTB2
AC107446.1	NA
Ac1576	NA
Acaa1a	ACAA1
Acaa1b	ACAA1
Acaa2	ACAA2
Acaca	ACACA
Acacb	ACACB
Acad10	ACAD10
Acad11	ACAD11
Acad8	ACAD8
Acad9	ACAD9
Acadl	ACADL
Acadm	ACADM
Acads	ACADS
Acadsb	ACADSB
Acadvl	ACADVL
Acan	ACAN
Acap1	ACAP1
Acap2	ACAP2
Acap3	ACAP3
Acat1	ACAT1
Acat2	ACAT2
Acat2l1	ACAT2
